Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,34.0,110.0,34.5,,1.67,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,111.5,31.0,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,113.0,28.0,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,113.5,34.0,,1.75,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,115.0,33.5,,1.77,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,116.5,36.0,,1.78,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,117.0,36.5,,1.73,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,117.5,34.7,,1.82,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,118.0,33.5,,1.72,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,118.5,33.0,,1.73,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,119.0,31.0,,1.75,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,119.5,27.0,,1.75,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0006,-115.9982,29.0,,1.79,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.001,-115.998,27.7,,1.77,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,34.003601,-99.442001,43.0,,1.81,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.004601,-78.216301,33.25,,1.8225,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.008099,-98.625603,47.75,,1.765,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.008701,-107.674004,37.0,,1.7,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.009,-107.674,36.9,,1.74,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,34.01,-118.0,28.0,,1.76,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.01,-107.67,40.0,,1.79,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.01,-98.63,27.0,,1.95,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.01,-97.08,46.0,,1.77,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.01,-93.28,34.0,,1.71,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.01,-5.47,31.5,,1.75,,,,,,,,,Africa,Mancilla2012,Stephenson 2024,Hk,-,,,,,,,
,,34.012402,-93.2798,31.5,,1.7975,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.016529,-80.982887,34.0,,1.7225,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.0166,-5.4721,35.0,,1.75,,,,,,,,,Africa,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,34.01663,-5.47214,34.0,,1.69,,,,,,,,,Africa,Timoulali2022,Stephenson 2024,Hk,-,,,,,,,
,,34.016998,-80.391502,31.0,,1.76,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.019,-118.286,35.5,,1.66,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,34.019192,-118.286308,30.25,,1.775,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.02,-80.98,35.0,,1.7,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.02,102.06,51.48,,1.78,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,34.02,111.04,35.01,,1.69,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,34.021,-118.287,34.7,,1.68,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,34.021,-117.733,34.021,,1.685,,,,,,,,,America_North,Yan2007,Stephenson 2024,Hk,-,,,,,,,
,,34.028099,-79.359558,30.0,,1.7775,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,34.03,-79.36,31.0,,1.88,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.03,88.63,60.18,,1.76,,,,,,,,,Asia_China,He2014,Stephenson 2024,Hk,-,,,,,,,
,,34.0313,108.9237,38.3,,1.662,,,,,,,,,Asia_China,Chen2010,Stephenson 2024,Hk,-,,,,,,,
,,34.04,-82.83,36.0,,1.67,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.041,-116.051,34.041,,1.76,,,,,,,,,America_North,Yan2007,Stephenson 2024,Hk,-,,,,,,,
,,34.047,-106.12,37.1,,1.77,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
